hand,note,post_delay
S,109,23.4
L,SE,0.434
R,SW,1.566
R,N,0.8
R,SW,0.817
R,SE,1.2
R,E,0.783
R,N,0.783
L,SE,0.434
R,SW,1.6
R,N,0.783
R,SW,0.817
R,SE,1.2
R,E,0.8
R,N,0.783
L,SE,0.434
R,N,0.383
R,W,0.383
R,N,0.4
R,SW,0.417
R,SE,0.383
R,E,0.4
R,N,0.4
R,E,0.4
R,S,0.4
R,SE,1.2
R,N,0.8
R,NE,0.4
B,SE-N,1.583
L,SE,1.583
L,SE,3.234
L,SE,0.32
R,N,0.45
R,W,0.367
R,N,0.367
R,SW,0.383
R,SE,0.433
R,E,0.417
R,N,0.383
R,E,0.417
R,S,0.366
R,SE,1.25
R,N,0.384
R,E,0.8
B,SE-SW,1.133
R,SE,0.433
L,SE,1.601
L,SE,3.199
L,W,0.834
R,NE,0.383
R,SW,0.417
R,W,0.366
R,E,0.851
R,NE,0.783
R,SW,0.833
R,W,0.8
R,W,0.384
R,SW,0.366
R,S,0.4
B,W-SW,0.783
R,SE,1.584
R,SE,0.816
R,SE,3.234
L,SE,0.416
R,N,0.384
R,W,0.383
R,N,0.367
R,SW,0.4
R,SE,0.399
R,E,0.451
R,N,0.383
R,E,0.4
R,S,0.4
R,SE,1.2
R,N,0.4
R,E,0.8
B,SE-SW,1.2
R,SE,5.167
L,SW,0.417
R,E,1.15
R,S,0.8
R,S,0.85
B,SW-NE,0.75
R,E,2.399
B,S-NE,0.433
R,N,0.433
R,S,5.6
L,NE,0.417
R,NE,1.2
R,S,0.783
R,SW,1.183
R,NE,1.217
R,S,0.766
R,SW,0.834
L,W,2.416
R,SW,0.417
R,W,0.4
B,SW-NW,6.349
R,SW,0.8
R,SW,0.784
R,SW,0.8
R,SW,0.383
R,SW,0.383
