hand,note,post_delay
S,145,18.55
R,NE,0.625
R,NE,0.50425
R,E,0.807
R,W,0.66625
R,S,0.523
R,W,0.8145
R,S,0.68225
R,SW,0.4985
R,S,0.8125
R,S,0.6755
R,W,0.4945
R,SE,0.82225
L,SW,1.194
L,S,1.222
L,SW,1.20525
L,S,1.18325
L,SW,1.2405
L,S,1.1695
L,SW,1.1775
L,SE,0.4305
L,SE,0.75925
B,S-NE,0.668
R,NE,0.5095
R,E,0.8335
B,S-W,0.6985
R,S,0.54975
R,W,0.71425
B,S-S,0.739
R,SW,0.50275
R,S,0.818
B,S-S,0.69
R,W,0.46425
R,SE,1.272
B,N-E,0.63575
R,E,0.5195
R,SE,0.7975
R,NE,0.66775
R,S,0.528
R,NE,0.79525
B,N-N,0.67275
R,N,0.5105
R,NE,0.8465
R,W,0.669
R,N,0.53975
R,NE,0.40175
R,SE,0.4125
B,N-E,0.646
R,E,0.51425
R,SE,0.8235
R,NE,0.702
R,S,0.502
R,NE,0.84125
B,SE-SW,0.62
R,W,0.53325
R,SW,0.81375
B,NE-SW,0.66375
R,W,0.535
R,E,0.41025
R,N,0.4465
R,N,0.3545
B,S-NE,0.63125
B,NE-SE,4.14275
L,S,1.216
L,NE,0.786
L,S,1.18725
L,NE,0.81475
L,S,1.18375
L,NE,0.8035
L,S,1.22825
L,NE,0.74975
B,S-S,1.23025
R,NE,0.78275
B,S-SE,1.1965
R,E,0.789
B,S-NE,1.24225
R,N,0.3615
R,E,0.40825
B,S-NE,2.01075
B,N-S,1.18125
R,SE,0.77225
B,N-W,1.26575
R,NW,0.75275
B,N-W,1.20925
R,SW,0.383
R,SW,0.4025
B,N-S,2.0075
B,S-S,1.195
R,NE,0.7985
B,S-SE,1.23
R,E,0.8415
B,S-NE,1.19475
R,N,0.375
R,E,0.42675
B,S-NE,1.993
B,N-S,1.18875
R,SE,0.78225
B,N-W,1.193
R,NW,0.76975
B,N-NE,1.2245
R,NW,0.75875
B,N-SE,1.22825
R,E,0.43775
R,E,0.364
B,S-NE,1.20975
L,NE,0.805
L,S,1.16875
L,NE,0.81025
L,S,1.173
L,NE,1.10375
R,SE,0.50475
R,SE,0.44725
R,E,0.4035
R,E,0.35125
B,S-NE,2.06525
B,S-NE,0.73825
L,NE,0
