hand,note,post_delay
S,146,16.38
R,N,2.92325
R,S,2.2135
R,W,0.73075
R,SW,5.84675
R,N,2.93275
R,S,2.2275
R,W,0.73075
R,W,0.3635
R,SW,0.357
R,S,0.37625
R,SW,1.07825
R,SE,0.75975
R,S,0.32375
R,S,4.41225
R,N,0.374
R,SW,0.35975
R,S,0.38625
B,SE-SW,0.34225
R,N,1.4895
R,N,0.35925
R,SW,0.3665
R,S,0.36625
R,SW,0.3505
R,NE,1.4645
R,NE,0.3905
R,E,0.351
R,NE,0.3885
R,N,4.77
R,N,0.35275
R,SW,0.368
R,S,0.363
B,SE-SW,0.35625
R,N,1.48625
R,N,0.36375
R,SW,0.36275
R,S,0.3715
R,SW,0.343
R,N,1.5075
R,SW,0.34725
R,SE,0.34225
R,E,0.382
R,NE,4.784
R,NE,0.363
R,W,0.34875
R,SW,0.3585
B,S-W,0.3735
R,NE,1.485
R,NE,0.362
R,W,0.37
R,SW,0.3685
R,W,0.3465
R,S,1.48775
R,S,0.353
R,SE,0.35075
R,S,0.3825
B,SE-SW,5.143
R,SW,0.727
R,SW,0.35975
R,S,0.3785
R,SE,0.353
R,S,0.366
R,W,0.73
R,SW,0.36775
R,S,0.36825
R,S,0.71875
R,SE,1.497
R,NE,0.351
R,SE,0.36775
R,S,4.79825
R,N,0.35425
R,SW,0.3555
R,S,0.38025
B,SE-SW,0.33375
R,N,1.5075
R,N,0.3485
R,SW,0.36175
R,S,0.376
R,SW,0.37575
R,NE,1.441
R,NE,0.3775
R,E,0.3305
R,NE,0.385
R,N,4.80775
R,N,0.365
R,SW,0.349
R,S,0.37025
B,SE-SW,0.368
R,N,1.46875
R,N,0.34325
R,SW,0.3885
R,S,0.35875
R,SW,0.36775
R,N,1.46675
R,SW,0.345
R,SE,0.35625
R,E,0.3765
B,W-NE,1.4955
L,NE,1.45975
L,S,1.83225
R,NE,0.35175
R,W,0.382
R,SW,0.3455
B,S-W,0.37575
R,NE,1.48375
R,NE,0.33625
R,W,0.37025
R,SW,0.364
R,W,0.38025
R,S,1.477
R,S,0.35925
R,SE,0.3715
R,S,0.3555
B,SE-SW,5.14375
R,SW,0.73625
B,E-SW,0.3745
R,S,0.3585
R,SE,0.3565
R,S,0.35875
R,W,0.74025
R,SW,0.35375
R,S,0.38325
B,NE-S,0.7175
R,SE,1.47475
R,NE,0.37025
R,SE,0.36025
B,S-S,2.96
R,SE,0.7335
R,E,0.7225
R,NE,0.72475
R,E,0.755
B,W-SE,2.93325
B,SE-SE,0
