hand,note,post_delay
S,205,15.85
L,N,2.019
R,SW,0.327
R,SE,0.3324
B,N-S,2.6754
L,N,1.9929
R,SW,0.3285
R,SE,0.3399
B,N-S,2.6376
B,N-W,1.3662
R,W,1.3353
B,N-S,1.3338
R,SW,1.3329
B,N-W,1.3368
R,W,1.3494
B,N-S,1.3005
R,SW,1.3551
L,N,0.3258
R,S,0.6552
R,S,0.6693
R,S,0.3195
R,SW,0.6687
L,N,0.3342
R,S,0.6552
R,S,0.6936
R,S,0.2949
R,SW,0.714
B,N-N,0.6576
R,S,0.6348
B,SW-SE,0.6756
L,NE,0.3648
R,NE,0.3453
B,N-E,0.6369
R,E,0.6576
L,SW,0.3582
R,N,0.3099
L,NE,0.3339
R,W,0.3276
B,N-N,1.3302
L,SW,1.0383
L,NE,0.3363
L,N,0.3459
R,S,0.6441
R,S,0.321
L,SW,0.3381
R,S,0.315
R,SW,0.6834
B,N-N,0.693
R,S,0.5913
B,SW-SE,0.7425
L,NE,0.2754
R,W,0.3813
B,N-N,0.6108
R,E,0.6843
L,SW,0.3498
R,SE,0.3363
L,NE,0.315
R,W,0.3573
B,N-S,1.3308
L,SW,0.9744
L,NE,0.3588
L,N,0.3417
R,S,0.5934
R,S,0.4053
L,SW,0.3006
R,S,0.285
R,SW,0.7266
B,N-N,0.6789
R,S,0.6138
B,SW-SE,0.7278
L,NE,0.3048
R,NE,0.3549
B,N-E,0.6363
R,E,0.6636
L,SW,0.3807
R,N,0.3303
L,NE,0.3003
R,W,0.369
B,N-N,1.3176
L,SW,0.9675
L,NE,0.3381
L,N,0.3459
R,S,0.6219
R,S,0.3504
L,SW,0.3483
R,S,0.3342
R,SW,0.3762
R,N,0.3162
R,E,0.3366
R,NE,0.3291
R,N,0.3102
R,W,0.3123
R,SW,0.3183
R,S,0.3621
R,SE,0.3423
R,E,0.312
B,NE-NE,1.0605
R,N,0.2955
B,S-W,0.6642
B,S-NE,0.6696
B,N-E,0.38
R,N,0.9585
L,SW,0.6879
L,NE,0.648
L,N,1.2894
L,SW,0.7167
L,NE,0.3123
L,SW,0.3384
B,S-W,1.3383
B,E-S,1.3269
B,S-W,1.3476
B,E-S,1.3002
B,N-W,1.3677
B,NE-S,0.5955
R,SE,0.7002
B,E-S,2.6985
B,SW-N,1.317
B,SE-SW,1.3461
B,SW-N,1.3182
B,SE-SW,1.3311
B,NE-N,1.3488
B,E-SW,0.9915
R,S,0.3264
B,SE-SW,4.014
L,NE,1.3
L,N,1.266
L,SW,0.8
B,NE-SW,0.3357
R,SE,0.3459
B,N-S,1.2891
L,SW,0.6498
L,NE,0.681
L,N,1.3383
L,SW,0.7119
B,NE-SW,0.2895
R,SE,0.3609
B,N-S,1.2831
L,SW,0.6972
L,NE,0.3465
R,N,0.3081
R,E,0.3408
R,NE,0.3261
R,N,0.3318
R,W,0.3129
R,SW,0.3519
R,S,0.3219
R,SE,0.3534
R,E,0.3072
B,NE-NE,1.0191
R,N,0.3333
B,S-W,0.6681
B,S-NE,0.6747
B,N-E,0.3513
R,N,2.3139
B,N-N,0.3567
B,N-N,0.6585
B,N-N,0.3102
B,N-NW,0
